Climb,location,rating,rating_dif,star_votes,stars,sub_location,type
105750442,Colorado,20.0,0.0,58,3.9,Boulder,Trad
106232452,New York,22.0,0.0,44,3.7,The Gunks,Trad
105994585,Colorado,19.0,1.0,84,2.8,Boulder,Sport
105722743,California,19.0,0.0,161,4.4,Joshua Tree National Park,Trad
105718558,Utah,17.5,-0.5,72,3.1,Moab Area,Trad
105751339,Colorado,24.0,1.25,73,3.6,Boulder,Sport
105753328,Colorado,27.0,0.0,98,4.4,Rifle,Sport
105923573,New Hampshire,14.5,0.0,83,2.7,Rumney,Sport
105725404,California,16.5,0.0,109,3.7,Joshua Tree National Park,Trad
105753004,Colorado,20.0,-1.0,70,4.6,Boulder,Trad
105749920,Colorado,19.5,-0.5,63,3.3,Canon City,Sport
105757837,Colorado,16.5,0.0,51,2.8,Boulder,Trad
105764358,Wyoming,18.0,0.0,81,4.6,Vedauwoo,Trad
106008134,Utah,17.0,-0.5,125,3.0,Wasatch Range,Sport
105721849,California,20.0,0.0,140,4.3,Joshua Tree National Park,Trad
105922314,New Hampshire,14.5,0.0,109,2.9,Rumney,Sport
105717760,Utah,21.0,0.0,61,4.4,Moab Area,Trad
105722431,California,19.0,0.0,56,4.4,Joshua Tree National Park,Trad
105753832,Colorado,24.0,-1.0,68,4.4,Rifle,Sport
105722062,California,17.5,0.0,47,3.6,Joshua Tree National Park,Trad
105748169,Colorado,17.5,0.0,95,3.7,Boulder,Trad
105740879,Utah,17.5,0.0,100,4.3,Wasatch Range,Trad
105750454,Colorado,13.0,0.0,108,4.4,Boulder,Trad
105717601,Utah,20.0,0.0,80,4.0,Moab Area,Trad
105799568,New York,20.0,0.0,108,4.6,The Gunks,Trad
105732746,Nevada,16.0,0.0,71,4.2,Red Rock,Trad
105760332,Colorado,19.0,0.0,147,3.2,Boulder,Sport
105821587,Utah,20.0,0.0,172,3.4,Moab Area,Trad
106227989,New York,11.5,0.0,131,3.4,The Gunks,Trad
105732725,Nevada,16.0,0.0,108,3.9,Red Rock,Trad
106028197,Colorado,19.0,0.0,52,3.6,Boulder,Trad
105722299,California,16.0,0.0,138,3.0,Joshua Tree National Park,Trad
105862459,Colorado,23.0,0.25,50,4.1,Canon City,Sport
105722266,California,16.0,0.0,149,3.7,Joshua Tree National Park,Trad
105898985,New York,25.0,0.0,31,4.4,The Gunks,Trad
105753397,Colorado,26.0,0.0,60,4.1,Rifle,Sport
105897523,New York,15.5,0.0,155,4.0,The Gunks,Trad
105725620,California,20.0,0.0,74,4.2,Joshua Tree National Park,Trad
105748993,Colorado,22.0,0.0,127,4.0,Canon City,Sport
106440060,Utah,16.0,0.0,68,4.1,Maple Canyon,Sport
105732566,Nevada,21.0,0.0,125,3.3,Red Rock,Sport
105803592,New York,16.5,0.0,71,4.1,The Gunks,Trad
105718000,Utah,21.0,0.0,72,4.4,Moab Area,Trad
105801570,New York,16.5,0.0,114,4.3,The Gunks,Trad
105761337,Colorado,19.0,0.0,122,3.0,Boulder,Sport
105829767,New York,20.0,0.0,61,4.4,The Gunks,Trad
106187777,California,14.5,0.0,97,4.6,Yosemite National Park,Trad
105741218,Utah,11.5,0.0,122,2.9,Wasatch Range,Sport
106009353,New Hampshire,19.0,0.0,68,2.8,Rumney,Sport
105808911,Nevada,19.5,-0.5,98,3.4,Red Rock,Sport
105740225,Utah,22.0,1.0,67,3.8,Wasatch Range,Trad
105758904,Colorado,19.0,-1.0,85,3.1,Boulder,Sport
106034654,New York,7.5,0.0,131,3.7,The Gunks,Trad
